date,sport_type,moving_time_s,distance_m,relative_effort
2026-01-03,Walk,11,0,0
2026-01-04,Run,2547,10048,122
2026-01-06,Hike,5046,5530,17
2026-01-11,Run,2929,8233,52
2026-01-17,Run,592,1592,2
2026-01-24,Run,1331,3918,21
2026-02-01,Walk,742,1008,1
2026-02-04,Run,2086,5938,23
2026-02-08,Run,2146,6036,46
2026-02-11,Run,2892,8661,62
2026-02-14,Run,2035,5924,27
2026-02-16,Run,2619,7884,58
2026-02-17,Ride,1122,7388,17
2026-02-20,Run,2484,7570,54
2026-02-22,Run,2400,7255,48
2026-02-23,Ride,1188,7104,9
2026-02-23,Ride,1522,8059,16
2026-02-24,Ride,1340,7732,11
2026-02-25,Run,2464,6823,38
2026-02-28,Run,2800,8293,30
2026-03-01,Run,4008,13071,72
2026-03-03,Ride,1209,7695,7
2026-03-04,Ride,1347,7928,4
2026-03-04,Run,2740,8700,57
2026-03-04,Ride,1196,7786,10
2026-03-05,Ride,1257,7781,0
2026-03-05,Ride,1313,7880,16
2026-03-06,Run,1860,5817,24
2026-03-07,Run,1760,6024,32
2026-03-08,Run,3637,10054,58
2026-03-09,Ride,1275,7792,10
2026-03-09,Ride,1229,7908,8
2026-03-10,Pilates,1707,0,2
2026-03-10,Run,2598,7763,24
2026-03-12,Ride,1274,7883,9
2026-03-12,Run,3089,10307,58
2026-03-12,Ride,1304,7761,4
2026-03-13,Yoga,3397,0,6
2026-03-14,Run,3012,8661,27
2026-03-15,Run,3199,10747,54
2026-03-16,Ride,1192,7752,6
2026-03-16,Ride,1293,7543,12
2026-03-17,Ride,1319,7547,14
2026-03-17,Run,2835,9111,63
2026-03-18,Ride,1348,7641,1
2026-03-18,Run,2683,8244,51
2026-03-18,Ride,1108,7680,6
2026-03-19,Ride,1708,8192,22
2026-03-19,Ride,1839,15479,24
2026-03-19,Ride,1547,8098,5
2026-03-21,Run,2566,6851,11
2026-03-23,Ride,1281,7754,12
2026-03-23,Run,1222,4082,23
2026-03-23,Run,2172,7576,72
2026-03-23,Ride,1104,7903,0
2026-03-25,Ride,1190,7653,4
2026-03-25,Ride,1282,7947,9
2026-03-25,Run,2345,7365,40
2026-03-29,Run,3183,9992,67
2026-03-30,Ride,1329,7881,12
2026-03-31,Ride,1215,7736,24
2026-03-31,Run,3622,11827,75
2026-03-31,Ride,2972,9093,8
2026-04-01,Ride,1291,7514,8
2026-04-01,Ride,1301,7304,1
2026-04-02,Run,3438,11827,76
2026-04-04,Run,2074,6210,28
2026-04-05,Run,5051,17773,89
2026-04-06,Run,3616,11007,26
2026-04-06,Ride,541,4365,13
2026-04-07,Ride,1423,7826,5
2026-04-07,Ride,1103,7692,7
2026-04-07,Ride,5263,42295,97
2026-04-08,Ride,1317,7653,0
2026-04-08,Run,353,1146,3
2026-04-08,Run,3812,12916,120
2026-04-08,Ride,1328,7424,0
2026-04-08,Ride,1499,8321,27
2026-04-08,Ride,1401,8195,18
2026-04-09,Ride,1233,7726,14
2026-04-09,Ride,1299,7899,12
2026-04-09,Run,2249,6481,10
2026-04-11,Run,3130,8019,24
2026-04-12,Run,1441,4485,23
2026-04-12,Run,5143,18917,144
2026-04-13,Ride,1300,7780,11
2026-04-13,Ride,1107,6694,5
2026-04-14,Run,3480,10933,52
2026-04-14,Ride,3932,34436,74
2026-04-15,Ride,1330,7810,27
2026-04-15,Run,3339,9249,14
2026-04-15,Ride,1177,7201,4
2026-04-16,Ride,1164,7596,8
2026-04-16,Run,4230,13827,94
2026-04-18,Run,2911,8561,21
2026-04-19,Run,5541,19623,112
2026-04-20,Ride,1239,7715,15
2026-04-20,Padel,3660,232,9
2026-04-20,Ride,1044,7747,16
2026-04-20,Run,3203,9977,15
2026-04-21,Ride,1163,7724,21
2026-04-21,Run,3247,9710,19
2026-04-21,Ride,5768,39832,90
2026-04-22,Ride,1457,7874,10
2026-04-23,Run,1197,3698,5
2026-04-23,Run,4074,13575,118
2026-04-24,Ride,4862,40922,59
2026-04-25,Run,2400,7093,11
2026-04-27,Ride,1317,7606,4
2026-04-27,Ride,1174,7630,8
2026-04-28,Ride,1230,7783,12
2026-04-28,Ride,1024,7910,21
2026-04-28,Ride,4394,33276,66
2026-04-29,Run,6162,21524,206
2026-04-30,Run,6644,20757,139
2026-05-01,Run,5868,18365,87
2026-05-01,Run,1349,5128,31
2026-05-01,Run,3935,13980,84
2026-05-02,Run,5081,14631,43
2026-05-03,Run,5778,16138,38
2026-05-03,Run,5147,16541,68
2026-05-05,Ride,2965,18003,23
2026-05-06,Ride,1391,7884,6
2026-05-06,Ride,1277,7783,6
2026-05-06,Run,3747,10871,39
2026-05-07,Ride,1283,7824,7
2026-05-09,Run,3280,10098,29
2026-05-10,Run,4872,15404,42
2026-05-12,Ride,1322,7716,8
2026-05-12,Run,3339,0,0
2026-05-12,Ride,1437,7774,6
